epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.916,1.23095,1.54988,1.22068,0.95046,0.91706,0.94008,0.57488,1.27608,0.88051,1.20764,0.00333082,0.00333082,0.00333082
2,2289.62,1.21073,0.83787,1.20217,0.93991,0.91378,0.95302,0.62072,1.25482,0.69138,1.23704,0.00661702,0.00661702,0.00661702
3,4128.38,1.26413,0.80154,1.25024,0.94629,0.90815,0.95296,0.59827,1.33684,0.6813,1.29747,0.00985609,0.00985609,0.00985609
4,5214.6,1.27013,0.77713,1.27062,0.95648,0.92034,0.95514,0.57196,1.40739,0.6383,1.33999,0.00978786,0.00978786,0.00978786
5,5702.81,1.23821,0.71828,1.25241,0.95154,0.91237,0.95803,0.59033,1.34759,0.62458,1.30582,0.00971714,0.00971714,0.00971714
6,6162.83,1.20738,0.68019,1.23311,0.95543,0.9241,0.96091,0.61166,1.32565,0.58153,1.28829,0.00964643,0.00964643,0.00964643
7,6596.06,1.19559,0.66108,1.23136,0.96455,0.93065,0.96652,0.64241,1.23705,0.57301,1.2329,0.00957571,0.00957571,0.00957571
8,7015.54,1.17596,0.63563,1.21761,0.96839,0.9358,0.96864,0.63103,1.28367,0.54646,1.24454,0.009505,0.009505,0.009505
9,7448.06,1.16607,0.62606,1.20762,0.96712,0.93721,0.9686,0.64487,1.2465,0.52189,1.22423,0.00943429,0.00943429,0.00943429
10,7871.3,1.14351,0.60323,1.19748,0.97008,0.93861,0.9757,0.65903,1.19736,0.49949,1.20995,0.00936357,0.00936357,0.00936357
11,8287.82,1.13447,0.5953,1.19182,0.97198,0.93205,0.97246,0.66337,1.18885,0.48529,1.19531,0.00929286,0.00929286,0.00929286
12,8721.55,1.13306,0.58713,1.18661,0.97369,0.94002,0.97098,0.66356,1.17444,0.48069,1.19219,0.00922214,0.00922214,0.00922214
13,9150.37,1.1286,0.58363,1.18629,0.97309,0.94883,0.97792,0.67124,1.17687,0.46844,1.19063,0.00915143,0.00915143,0.00915143
14,9574.4,1.12657,0.57519,1.1854,0.97209,0.94647,0.97478,0.66388,1.1913,0.45989,1.19266,0.00908071,0.00908071,0.00908071
15,9989.15,1.11408,0.56444,1.17445,0.97207,0.94236,0.97685,0.66658,1.1738,0.4519,1.18603,0.00901,0.00901,0.00901
16,10426.7,1.11009,0.55669,1.1732,0.96515,0.94732,0.97193,0.67271,1.16258,0.45486,1.17735,0.00893929,0.00893929,0.00893929
17,10865.7,1.10233,0.55524,1.17094,0.97964,0.94691,0.97931,0.68331,1.14569,0.43748,1.1699,0.00886857,0.00886857,0.00886857
18,11310.2,1.09651,0.55047,1.16793,0.97412,0.95234,0.97738,0.68585,1.14238,0.43594,1.16959,0.00879786,0.00879786,0.00879786
19,11732,1.09393,0.54189,1.16603,0.9692,0.95923,0.97808,0.68373,1.13657,0.43502,1.16974,0.00872714,0.00872714,0.00872714
20,12153.7,1.08202,0.53875,1.16076,0.97189,0.9558,0.97873,0.68721,1.12889,0.42182,1.15919,0.00865643,0.00865643,0.00865643
21,12566.5,1.08185,0.53086,1.1575,0.9783,0.9522,0.98007,0.68684,1.1343,0.41572,1.1632,0.00858571,0.00858571,0.00858571
22,12993.4,1.07916,0.52542,1.15962,0.97188,0.95541,0.97893,0.68966,1.13105,0.41968,1.16074,0.008515,0.008515,0.008515
23,13426.3,1.0708,0.5211,1.15169,0.98082,0.94986,0.98152,0.69445,1.12246,0.41358,1.15608,0.00844429,0.00844429,0.00844429
24,13848.3,1.06979,0.51968,1.15018,0.97704,0.95173,0.9783,0.6884,1.12044,0.41736,1.15452,0.00837357,0.00837357,0.00837357
25,14267.5,1.06715,0.5202,1.14836,0.9734,0.96064,0.97959,0.69386,1.11368,0.40869,1.15067,0.00830286,0.00830286,0.00830286
